Series_reference,Group
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BA,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BS,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1BT,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CA,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CS,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1CT,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DA,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DS,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
BDCQ.SEA1DT,Industry by employment variable
